COMM_NAME,COMM_CODE,COMM_WT,BASE Price,WT_INDX042012,WT_INDX052012,WT_INDX062012,WT_INDX072012,WT_INDX082012,WT_INDX092012,WT_INDX102012,WT_INDX112012,WT_INDX122012,WT_INDX012013,WT_INDX022013,WT_INDX032013,WT_INDX042013,WT_INDX052013,WT_INDX062013,WT_INDX072013,WT_INDX082013,WT_INDX092013,WT_INDX102013,WT_INDX112013,WT_INDX122013,WT_INDX012014,WT_INDX022014,WT_INDX032014,WT_INDX042014,WT_INDX052014,WT_INDX062014,WT_INDX072014,WT_INDX082014,WT_INDX092014,WT_INDX102014,WT_INDX112014,WT_INDX122014,WT_INDX012015,WT_INDX022015,WT_INDX032015,WT_INDX042015,WT_INDX052015,WT_INDX062015,WT_INDX072015,WT_INDX082015,WT_INDX092015,WT_INDX102015,WT_INDX112015,WT_INDX122015,WT_INDX012016,WT_INDX022016,WT_INDX032016,WT_INDX042016,WT_INDX052016,WT_INDX062016,WT_INDX072016,WT_INDX082016,WT_INDX092016,WT_INDX102016,WT_INDX112016,WT_INDX122016,WT_INDX012017,WT_INDX022017,WT_INDX032017,WT_INDX042017,WT_INDX052017,WT_INDX062017,WT_INDX072017,WT_INDX082017,WT_INDX092017,WT_INDX102017,WT_INDX112017,WT_INDX122017,WT_INDX012018,WT_INDX022018,WT_INDX032018,WT_INDX042018,WT_INDX052018,WT_INDX062018,WT_INDX072018,WT_INDX082018,WT_INDX092018,WT_INDX102018,WT_INDX112018,WT_INDX122018,WT_INDX012019,WT_INDX022019,WT_INDX032019,WT_INDX042019,WT_INDX052019,WT_INDX062019,WT_INDX072019,WT_INDX082019,WT_INDX092019,WT_INDX102019,WT_INDX112019,WT_INDX122019,WT_INDX012020,WT_INDX022020,WT_INDX032020,WT_INDX042020,WT_INDX052020,WT_INDX062020,WT_INDX072020,WT_INDX082020,WT_INDX092020,WT_INDX102020,WT_INDX112020,WT_INDX122020,WT_INDX012021,WT_INDX022021,WT_INDX032021,WT_INDX042021,WT_INDX052021,WT_INDX062021,WT_INDX072021,WT_INDX082021,WT_INDX092021,WT_INDX102021,WT_INDX112021,WT_INDX122021,WT_INDX012022,WT_INDX022022,WT_INDX032022,WT_INDX042022,WT_INDX052022,WT_INDX062022,WT_INDX072022,WT_INDX082022,WT_INDX092022,WT_INDX102022,WT_INDX112022,WT_INDX122022,WT_INDX012023,WT_INDX022023,WT_INDX032023,WT_INDX042023,WT_INDX052023,WT_INDX062023,WT_INDX072023,WT_INDX082023,WT_INDX092023,WT_INDX102023
Bajra,1101010104,0.08637,107.7,0.08637,0.08765312,0.085808635,0.091342089,0.096795348,0.097597298,0.092063844,0.096554763,0.102408997,0.105536602,0.106418747,0.106258357,0.109385961,0.110348301,0.109786936,0.108503816,0.105055432,0.104975237,0.104012897,0.103852507,0.105135627,0.106097967,0.105456407,0.107140501,0.107782061,0.107942451,0.106258357,0.107782061,0.106819721,0.107381086,0.103692117,0.100724903,0.099361588,0.100243733,0.098800223,0.100083343,0.102088217,0.101607047,0.100404123,0.099682368,0.102168412,0.106017772,0.106418747,0.108503816,0.111631421,0.114598635,0.11564117,0.118447994,0.124943788,0.130397047,0.127269443,0.127991198,0.127750613,0.124382423,0.118768774,0.121094429,0.124061643,0.121816184,0.121335014,0.122377549,0.123339889,0.122858719,0.120051894,0.11660351,0.11532039,0.111791811,0.106579136,0.104413872,0.107381086,0.105616797,0.102569387,0.101687242,0.101847632,0.102729777,0.103852507,0.106579136,0.110829471,0.113636295,0.119169749,0.129675292,0.132401922,0.137293816,0.14298766,0.145954875,0.150766574,0.156139638,0.156620808,0.160069192,0.160710752,0.157101978,0.148280529,0.151087354,0.156139638,0.161673092,0.155337688,0.150365599,0.151488329,0.148360724,0.14122337,0.134166212,0.129194123,0.124863593,0.124623008,0.123660669,0.120292479,0.118929164,0.116844095,0.117806435,0.11756585,0.119570724,0.120372674,0.123420084,0.129194123,0.133444457,0.132161337,0.138416546,0.147077604,0.146917214,0.150525989,0.157502953,0.164720501,0.167848106,0.166003621,0.166805571,0.171857855,0.17065493,0.161592897,0.168168886,0.175787409,0.179716964,0.176108189,0.180518914,0.184127688,0.183967298,0.181802033,0.181962423,0.181160474,0.181000084,0.185651393
Moong,1101010203,0.07088,96.3,0.07088,0.07065919,0.07110081,0.076253043,0.080006812,0.079786002,0.082582928,0.083539772,0.084938235,0.086042285,0.086189491,0.087072731,0.088323988,0.087514351,0.087587954,0.086851921,0.083834185,0.086483904,0.090458484,0.0930346,0.09325541,0.093108204,0.095169097,0.097598006,0.099732503,0.101425379,0.100689346,0.104884735,0.104663925,0.103927892,0.106430405,0.109300935,0.113275514,0.117102887,0.114600374,0.110920208,0.111435431,0.114600374,0.125272856,0.121666293,0.121298276,0.123285566,0.127701765,0.131087518,0.124242409,0.122991153,0.11850135,0.116808474,0.11938459,0.11916378,0.114379564,0.110699398,0.105620768,0.099143676,0.096861973,0.093770633,0.090311277,0.088103178,0.086042285,0.084938235,0.088912814,0.088397591,0.085968681,0.083171755,0.082877342,0.083098152,0.082067705,0.080816449,0.081478879,0.082582928,0.083171755,0.083981391,0.082067705,0.083171755,0.082730135,0.084643821,0.087514351,0.088176781,0.086925524,0.089501641,0.090532087,0.09259298,0.09435946,0.094065047,0.09435946,0.09634675,0.099806106,0.100910156,0.100983759,0.102087809,0.102823842,0.107976075,0.110110571,0.111361828,0.115262804,0.119237383,0.128216989,0.132265171,0.129615452,0.127775369,0.125420062,0.12093026,0.119679003,0.121519086,0.124021599,0.122696739,0.124904839,0.124536822,0.124904839,0.124831236,0.123211963,0.120341433,0.1196054,0.12137188,0.122402326,0.121224673,0.121519086,0.120783053,0.122255119,0.124242409,0.123432773,0.122402326,0.121519086,0.122328723,0.123359169,0.122328723,0.122328723,0.121960706,0.123800789,0.123432773,0.123506376,0.127186542,0.133074808,0.131455535,0.136018941,0.13888947,0.139404694,0.146985836,0.151328432
Masur,1101010204,0.05299,102.5,0.05299,0.05552318,0.056712224,0.05955559,0.061623493,0.061520098,0.061313307,0.06105482,0.060692937,0.061933678,0.062088771,0.061778585,0.065190624,0.0657076,0.067517015,0.067982293,0.068344176,0.068602663,0.067672107,0.069326429,0.070101893,0.070515473,0.070618868,0.072790166,0.074082605,0.075219951,0.075581834,0.076460693,0.077649737,0.078890478,0.07863199,0.079562546,0.081423659,0.086231532,0.085921346,0.085249278,0.085352673,0.091504683,0.096312556,0.097398205,0.101120429,0.100861941,0.101844195,0.102774751,0.101068732,0.098483854,0.095123512,0.094244654,0.096571044,0.098328761,0.098742341,0.098587249,0.095950673,0.094089561,0.092642029,0.091401288,0.087679063,0.083284771,0.08075159,0.079614244,0.080286312,0.076770878,0.074702976,0.071084146,0.070308683,0.071497727,0.069171337,0.067672107,0.067361922,0.06550081,0.063122722,0.062347259,0.062450654,0.062398956,0.060899727,0.060951424,0.062554049,0.062967629,0.062915932,0.062657444,0.064415161,0.06591439,0.066948341,0.067258527,0.068137385,0.06974001,0.070877356,0.071084146,0.070980751,0.070980751,0.070825659,0.072635073,0.074030907,0.076460693,0.076047112,0.075478439,0.077391249,0.077959922,0.080182917,0.081423659,0.081682146,0.082199122,0.084163629,0.085973044,0.084680605,0.085507766,0.085973044,0.087058693,0.088868107,0.091039405,0.09284882,0.093003912,0.095123512,0.101999288,0.105101141,0.105152839,0.10427398,0.104894351,0.105928302,0.106238488,0.104842654,0.104687561,0.103705307,0.104480771,0.105669815,0.103240029,0.103291727,0.104480771,0.103291727,0.102878146,0.101482312,0.100603454,0.099311015,0.097243112,0.097036322,0.096467649,0.096622741,0.099569502,0.097966878
Peas/Chawali,1101010206,0.02444,113.2,0.02444,0.02657742,0.028995512,0.031823816,0.030938622,0.033205583,0.031651095,0.02845576,0.026944452,0.025562686,0.02439682,0.026599011,0.029405724,0.030161378,0.033054452,0.032752191,0.031823816,0.033918057,0.033896466,0.032428339,0.02847735,0.02232417,0.022842332,0.025195654,0.028045548,0.029276184,0.030182968,0.031456784,0.031780636,0.031607915,0.031802226,0.029470495,0.025713816,0.02452636,0.022993463,0.026922862,0.027225124,0.029556855,0.032385159,0.030679541,0.030161378,0.031996537,0.030809081,0.030290919,0.02651265,0.026016078,0.024267279,0.024267279,0.029492085,0.031586325,0.034155548,0.033810106,0.031823816,0.031823816,0.033183993,0.032860141,0.029081873,0.025951307,0.025843357,0.02638311,0.028779611,0.029384134,0.028110318,0.029707986,0.03052841,0.030722721,0.030744311,0.03048523,0.029751166,0.028067138,0.027484205,0.027851237,0.031413604,0.032363569,0.03249311,0.033248763,0.034198728,0.034026007,0.039509894,0.044022226,0.040999611,0.036206608,0.033615795,0.036314558,0.03864629,0.039963286,0.040999611,0.041172332,0.042079117,0.043158622,0.043309753,0.043698375,0.038300848,0.039380353,0.039358763,0.038883781,0.040546219,0.042079117,0.043093852,0.043180212,0.043698375,0.044281307,0.046094876,0.049700424,0.040395088,0.037329293,0.038559929,0.04074053,0.047001661,0.047282332,0.04674258,0.046202827,0.046980071,0.047282332,0.045274452,0.051168551,0.043007491,0.041323463,0.042122297,0.040567809,0.045252862,0.048253887,0.047627774,0.047131201,0.049678834,0.05088788,0.054018445,0.048167527,0.037976996,0.03463053,0.03458735,0.036033887,0.042208657,0.043072261,0.042316608,0.046613039,0.047455053,0.049095901,0.051298092
Cauliflower,1101020108,0.16697,119.1,0.16697,0,0,0,0,0.188699933,0.181409891,0.142576398,0.129818825,0.144539102,0.139632343,0.145240067,0.152810495,0,0,0,0,0.20524272,0.228374584,0.249964324,0.166829807,0.139632343,0.128557086,0.13724906,0.148324316,0,0,0,0,0.227112846,0.20790639,0.18183047,0.167811159,0.155193778,0.142996977,0.143978329,0.142436205,0,0,0,0,0.17327869,0.169633669,0.1710356,0.176783518,0.156876096,0.131080563,0.122668976,0.126734576,0,0,0,0,0.21603759,0.240150806,0.203840789,0.154773199,0.123369941,0.113276037,0.146922385,0.161502469,0,0,0,0,0.166549421,0.19935461,0.198373258,0.148885088,0.128977666,0.107387926,0.096032284,0.113276037,0,0,0,0,0.245197758,0.25024471,0.225710915,0.185475491,0.182952015,0.159820151,0.209168128,0.250805483,0,0,0,0,0.267909043,0.319219723,0.345015256,0.275619664,0.278002947,0.216878749,0.200335961,0.225290336,0,0,0,0,0.317397212,0.335902704,0.30155539,0.227393233,0.197812485,0.192485147,0.195008623,0.223888405,0,0,0,0,0.324126482,0.350622981,0.41090602,0.395344584,0.344454484,0.292583031,0.258656297,0.293283997,0,0,0,0,0.408943317,0.461235348,0.328332275,0.230337288,0.225851108,0.208046583,0.229215743,0.24800162,0,0,0,0,0.322864744,0.342912359
Okra (Lady finger),1101020110,0.14592,152.2,0.14592,0.088779185,0.086574087,0.08341025,0.074781603,0.072001261,0.085615348,0.090313167,0.107762208,0.108049829,0.112268279,0.111021919,0.095490355,0.058962418,0.066919947,0.08293088,0.085998844,0.087820447,0.10507774,0.136907858,0.138825335,0.136524363,0.137674849,0.128950329,0.090121419,0.05877067,0.058962418,0.086190591,0.080534034,0.082259763,0.079958791,0.10210565,0.120225808,0.132114166,0.104694244,0.105652983,0.095682102,0.071330145,0.077082576,0.073918739,0.062413876,0.062701498,0.080342286,0.090792536,0.1125559,0.120129934,0.112172405,0.091655401,0.081301025,0.076411459,0.069987911,0.075932089,0.078616557,0.077466071,0.08293088,0.070946649,0.086190591,0.108145703,0.117061971,0.110542549,0.094915112,0.093285256,0.083793745,0.100571669,0.123677267,0.094435742,0.127416347,0.143043784,0.151576557,0.153589908,0.145057135,0.148029225,0.11006318,0.076890828,0.079862917,0.109967306,0.123389645,0.105748857,0.112268279,0.10383138,0.130004941,0.159342339,0.166149382,0.161547438,0.136524363,0.114665125,0.08341025,0.088012194,0.083985493,0.076986702,0.105652983,0.150234323,0.188104494,0.183981919,0.183214928,0.165861761,0.149563206,0.093477004,0.083985493,0.0791918,0.089833798,0.126169987,0.154356899,0.125978239,0.14592,0.186091143,0.216579028,0.182543811,0.143523154,0.115527989,0.124060762,0.146686991,0.108337451,0.093764625,0.123869014,0.187529251,0.263077845,0.268255033,0.262406728,0.203348436,0.172189435,0.102201524,0.085040105,0.098558318,0.109008568,0.120129934,0.138250092,0.127128725,0.146303495,0.236616662,0.255887306,0.252531721,0.203252562,0.14093456,0.116678476,0.17055958,0.125211248,0.090121419,0.118404205
Beans,1101020118,0.08309,140.4,0.08309,0.081314573,0.081847201,0.065809174,0.067051973,0.053440363,0.05710958,0.066933611,0.067229516,0.06296849,0.064448013,0.081018668,0.101791168,0.106052194,0.107590897,0.070484466,0.066460164,0.078059623,0.074035321,0.058885007,0.069241667,0.064625556,0.061429786,0.064803098,0.069064124,0.088061197,0.090605976,0.080071774,0.065394907,0.053440363,0.075455662,0.076343376,0.075692386,0.058885007,0.066519345,0.063678661,0.073502692,0.104454309,0.081255392,0.079775869,0.079775869,0.079775869,0.079775869,0.079775869,0.079775869,0.079775869,0.079775869,0.079775869,0.100785093,0.120433155,0.124398276,0.065513269,0.05261183,0.065631631,0.084036895,0.074153682,0.074153682,0.069182486,0.082912457,0.103803319,0.106644003,0.110845848,0.108064345,0.09155287,0.080900306,0.084924608,0.095577172,0.087942835,0.065454088,0.054801524,0.042373533,0.044622407,0.049120157,0.058766645,0.067584601,0.058589103,0.05000787,0.05971354,0.070957913,0.074390406,0.0688274,0.066933611,0.0623175,0.072200712,0.079361603,0.084510342,0.093150755,0.089008091,0.084687885,0.079302422,0.084096075,0.07983505,0.080545221,0.085930684,0.069715114,0.064152108,0.086700036,0.088357101,0.085161332,0.064152108,0.073561873,0.102442158,0.115994587,0.098536218,0.079539145,0.081492115,0.098121952,0.087114302,0.090014167,0.090132528,0.107235812,0.083504266,0.076876004,0.077053547,0.093920107,0.102087073,0.118657728,0.107294993,0.087942835,0.078947336,0.090487614,0.109011239,0.111556019,0.117651652,0.121024964,0.118421004,0.109484687,0.09670161,0.071904808,0.076639281,0.084865427,0.098417856,0.132150976,0.122563668,0.133216232,0.146887023,0.13049391,0.102264615,0.132861147
Drumstick,1101020120,0.01823,59,0.01823,0.018384492,0.028086559,0.029075305,0.022957441,0.020022102,0.025305712,0.035224068,0.070170051,0.058459593,0.037850424,0.021412525,0.019002458,0.021474322,0.034606102,0.041496424,0.035780237,0.035625746,0.062723559,0.079377746,0.08531022,0.084475966,0.055215271,0.027283203,0.02771578,0.029168,0.056358508,0.041094746,0.037943119,0.045636797,0.053423169,0.085279322,0.108916525,0.117166373,0.063063441,0.037541441,0.03500778,0.046903627,0.048881119,0.040075102,0.040075102,0.040075102,0.040075102,0.040075102,0.040075102,0.040075102,0.040075102,0.040075102,0.023637203,0.031763458,0.050364237,0.043164932,0.028117458,0.028395542,0.031825254,0.042825051,0.066122373,0.070942508,0.040538576,0.027499492,0.023544508,0.034853288,0.038870068,0.050333339,0.049622678,0.054628203,0.079161458,0.078543492,0.117475356,0.097545949,0.067512797,0.034760593,0.030002254,0.031825254,0.041403729,0.045914881,0.036181915,0.03482239,0.039766119,0.061518525,0.067759983,0.083363627,0.070293644,0.032844898,0.024564153,0.029631475,0.037201559,0.059479237,0.049993458,0.048448542,0.055215271,0.099307153,0.185822407,0.14584,0.076905881,0.039333542,0.032535915,0.030496627,0.042886847,0.048541237,0.053639458,0.070664424,0.070509932,0.079006966,0.064330271,0.106846339,0.095074085,0.071838559,0.031701661,0.031887051,0.059942712,0.056204017,0.045482305,0.049900763,0.077740136,0.103694712,0.179642746,0.215762864,0.162370593,0.085217525,0.040136898,0.046625542,0.064392068,0.047367102,0.04940639,0.069119508,0.095970136,0.115683254,0.149918576,0.148342763,0.125910593,0.079594034,0.043288525,0.044030085,0.059541034,0.051445678,0.042732356,0.031732559,0.079779424
Orange,1101020204,0.12653,107.9,0.12653,0.12887532,0.131572437,0,0,0,0,0.132862363,0.12887532,0.128640788,0.130165246,0.128992586,0.129227118,0.14083645,0.141188248,0,0,0,0,0.126647266,0.116445125,0.11163722,0.117383253,0.128054458,0.133683225,0.140601918,0.142126376,0,0,0,0,0.125240074,0.118907711,0.125005542,0.131103373,0.131689703,0.132862363,0.134504087,0.136497609,0,0,0,0,0.11046456,0.114217071,0.12359835,0.123832882,0.126764532,0.145644356,0.14611342,0.152680315,0,0,0,0,0.145996154,0.143299036,0.142712706,0.143299036,0.1437681,0.144119898,0.148341474,0.155377433,0,0,0,0,0.14669975,0.147755144,0.144588962,0.145058026,0.142126376,0.145058026,0.159599008,0.170152947,0,0,0,0,0.12711633,0.110112762,0.11105089,0.116327859,0.118790445,0.131689703,0.138022067,0.14083645,0,0,0,0,0.140953716,0.13063431,0.130868842,0.116093327,0.113396209,0.122777488,0.134855885,0.141891844,0,0,0,0,0.152914847,0.129930714,0.138022067,0.181058684,0.218232002,0.297621075,0.335028925,0.334090797,0,0,0,0,0.19724139,0.208381659,0.216590278,0.235939166,0.262206747,0.297855607,0.303718906,0.31122393,0,0,0,0,0.221515449,0.220225524,0.253177266,0.280265709,0.284370019,0.328931094,0.333269935,0.343706608,0,0,0,0
Cashew nut,1101020205,0.06583,90.3,0.06583,0.070058283,0.069985382,0.072536932,0.07545299,0.075161384,0.073994961,0.074869779,0.073776257,0.075088483,0.076254906,0.071662115,0.069839579,0.070495692,0.072245327,0.074286567,0.075744596,0.077712935,0.080045781,0.082743134,0.083326346,0.08405536,0.084857276,0.08405536,0.083982458,0.07851485,0.082232824,0.08405536,0.082087021,0.084930177,0.090324884,0.090762292,0.089522968,0.09316804,0.095792492,0.09367835,0.092074518,0.096011196,0.096521506,0.098344042,0.099145958,0.101041395,0.105779989,0.105123876,0.106290299,0.104030354,0.10585289,0.105269679,0.105998693,0.108258638,0.109935371,0.109716667,0.112341118,0.120141573,0.121453798,0.120724784,0.12356794,0.125171772,0.125609181,0.124734363,0.121599601,0.12458856,0.126265293,0.126702702,0.130201971,0.13114969,0.13217031,0.129472957,0.132389014,0.133774142,0.133118029,0.131951606,0.129254252,0.126629801,0.125025969,0.126046589,0.126265293,0.124515659,0.122911827,0.124880166,0.12458856,0.123713743,0.120797685,0.119048051,0.116059092,0.114382359,0.115767486,0.114528162,0.113143034,0.115184275,0.116861008,0.117881628,0.119048051,0.119339657,0.118902248,0.116350698,0.116861008,0.116933909,0.11598619,0.112851429,0.114309457,0.114236556,0.115548782,0.117881628,0.115767486,0.120068671,0.117954529,0.118173234,0.115402979,0.112559823,0.111174695,0.109643765,0.114382359,0.118829347,0.122109911,0.122693123,0.118829347,0.118319037,0.116861008,0.117225515,0.117808726,0.11897515,0.117444219,0.114528162,0.11292433,0.113070133,0.112341118,0.112195316,0.11190371,0.109497962,0.111101794,0.110664385,0.112851429,0.109643765,0.106946412,0.105998693,0.106217398,0.106654806,0.107165116
