Sector,mom_id,Year,Month,cpi
Rural,2013-Jan,2013,January,105.1
Urban,2013-Jan,2013,January,104
Rural+Urban,2013-Jan,2013,January,104.6
Rural,2013-Feb,2013,February,105.8
Urban,2013-Feb,2013,February,104.7
Rural+Urban,2013-Feb,2013,February,105.3
Rural,2013-Mar,2013,March,106
Urban,2013-Mar,2013,March,105
Rural+Urban,2013-Mar,2013,March,105.5
Rural,2013-Apr,2013,April,106.4
Urban,2013-Apr,2013,April,105.7
Rural+Urban,2013-Apr,2013,April,106.1
Rural,2013-May,2013,May,107.2
Urban,2013-May,2013,May,106.6
Rural+Urban,2013-May,2013,May,106.9
Rural,2013-Jun,2013,June,108.9
Urban,2013-Jun,2013,June,109.7
Rural+Urban,2013-Jun,2013,June,109.3
Rural,2013-Jul,2013,July,110.7
Urban,2013-Jul,2013,July,111.4
Rural+Urban,2013-Jul,2013,July,111
Rural,2013-Aug,2013,August,112.1
Urban,2013-Aug,2013,August,112.7
Rural+Urban,2013-Aug,2013,August,112.4
Rural,2013-Sep,2013,September,114.2
Urban,2013-Sep,2013,September,113.2
Rural+Urban,2013-Sep,2013,September,113.7
Rural,2013-Oct,2013,October,115.5
Urban,2013-Oct,2013,October,114
Rural+Urban,2013-Oct,2013,October,114.8
Rural,2013-Nov,2013,November ,117.4
Urban,2013-Nov,2013,November,115
Rural+Urban,2013-Nov,2013,November,116.3
Rural,2013-Dec,2013,December,115.5
Urban,2013-Dec,2013,December,113.3
Rural+Urban,2013-Dec,2013,December,114.5
Rural,2014-Jan,2014,January,114.2
Urban,2014-Jan,2014,January,112.9
Rural+Urban,2014-Jan,2014,January,113.6
Rural,2014-Feb,2014,February,114
Urban,2014-Feb,2014,February,113.1
Rural+Urban,2014-Feb,2014,February,113.6
Rural,2014-Mar,2014,March,114.6
Urban,2014-Mar,2014,March,113.7
Rural+Urban,2014-Mar,2014,Marcrh,114.2
Rural,2014-Apr,2014,April,115.4
Urban,2014-Apr,2014,April,114.7
Rural+Urban,2014-Apr,2014,April,115.1
Rural,2014-May,2014,May,116
Urban,2014-May,2014,May,115.6
Rural+Urban,2014-May,2014,May,115.8
Rural,2014-Jun,2014,June,117
Urban,2014-Jun,2014,June,116.4
Rural+Urban,2014-Jun,2014,June,116.7
Rural,2014-Jul,2014,July,119.5
Urban,2014-Jul,2014,July,118.9
Rural+Urban,2014-Jul,2014,July,119.2
Rural,2014-Aug,2014,August,120.7
Urban,2014-Aug,2014,August,119.9
Rural+Urban,2014-Aug,2014,August,120.3
Rural,2014-Sep,2014,September,120.9
Urban,2014-Sep,2014,September,119.2
Rural+Urban,2014-Sep,2014,September,120.1
Rural,2014-Oct,2014,October,121
Urban,2014-Oct,2014,October,119.1
Rural+Urban,2014-Oct,2014,October,120.1
Rural,2014-Nov,2014,November,121.1
Urban,2014-Nov,2014,November,119
Rural+Urban,2014-Nov,2014,November,120.1
Rural,2014-Dec,2014,December,120.3
Urban,2014-Dec,2014,December,118.4
Rural+Urban,2014-Dec,2014,December,119.4
Rural,2015-Jan,2015,January,120.3
Urban,2015-Jan,2015,January,118.5
Rural+Urban,2015-Jan,2015,January,119.5
Rural,2015-Feb,2015,February,120.6
Urban,2015-Feb,2015,February,118.7
Rural+Urban,2015-Feb,2015,February,119.7
Rural,2015-Mar,2015,March,121.1
Urban,2015-Mar,2015,March,119.1
Rural+Urban,2015-Mar,2015,March,120.2
Rural,2015-Apr,2015,April,121.5
Urban,2015-Apr,2015,April,119.7
Rural+Urban,2015-Apr,2015,April,120.7
Rural,2015-May,2015,May,122.4
Urban,2015-May,2015,May,120.7
Rural+Urban,2015-May,2015,May,121.6
Rural,2015-Jun,2015,June,124.1
Urban,2015-Jun,2015,June,121.7
Rural+Urban,2015-Jun,2015,June,123
Rural,2015-Jul,2015,July,124.7
Urban,2015-Jul,2015,July,122.4
Rural+Urban,2015-Jul,2015,July,123.6
Rural,2015-Aug,2015,August,126.1
Urban,2015-Aug,2015,August,123.2
Rural+Urban,2015-Aug,2015,August,124.8
Rural,2015-Sep,2015,September,127
Urban,2015-Sep,2015,September,123.5
Rural+Urban,2015-Sep,2015,September,125.4
Rural,2015-Oct,2015,October,127.7
Urban,2015-Oct,2015,October,124.2
Rural+Urban,2015-Oct,2015,October,126.1
Rural,2015-Nov,2015,November,128.3
Urban,2015-Nov,2015,November,124.6
Rural+Urban,2015-Nov,2015,November,126.6
Rural,2015-Dec,2015,December,127.9
Urban,2015-Dec,2015,December,124
Rural+Urban,2015-Dec,2015,December,126.1
Rural,2016-Jan,2016,January,128.1
Urban,2016-Jan,2016,January,124.2
Rural+Urban,2016-Jan,2016,January,126.3
Rural,2016-Feb,2016,February,127.9
Urban,2016-Feb,2016,February,123.8
Rural+Urban,2016-Feb,2016,February,126
Rural,2016-Mar,2016,March,128
Urban,2016-Mar,2016,March,123.8
Rural+Urban,2016-Mar,2016,March,126
Rural,2016-Apr,2016,April,129
Urban,2016-Apr,2016,April,125.3
Rural+Urban,2016-Apr,2016,April,127.3
Rural,2016-May,2016,May,130.3
Urban,2016-May,2016,May,126.6
Rural+Urban,2016-May,2016,May,128.6
Rural,2016-Jun,2016,June,131.9
Urban,2016-Jun,2016,June,128.1
Rural+Urban,2016-Jun,2016,June,130.1
Rural,2016-Jul,2016,July,133
Urban,2016-Jul,2016,July,129
Rural+Urban,2016-Jul,2016,July,131.1
Rural,2016-Aug,2016,August,133.5
Urban,2016-Aug,2016,August,128.4
Rural+Urban,2016-Aug,2016,August,131.1
Rural,2016-Sep,2016,September,133.4
Urban,2016-Sep,2016,September,128
Rural+Urban,2016-Sep,2016,September,130.9
Rural,2016-Oct,2016,October,133.8
Urban,2016-Oct,2016,October,128.6
Rural+Urban,2016-Oct,2016,October,131.4
Rural,2016-Nov,2016,November,133.6
Urban,2016-Nov,2016,November,128.5
Rural+Urban,2016-Nov,2016,November,131.2
Rural,2016-Dec,2016,December,132.8
Urban,2016-Dec,2016,December,127.6
Rural+Urban,2016-Dec,2016,December,130.4
Rural,2017-Jan,2017,January,132.4
Urban,2017-Jan,2017,January,127.8
Rural+Urban,2017-Jan,2017,January,130.3
Rural,2017-Feb,2017,February,132.6
Urban,2017-Feb,2017,February,128.2
Rural+Urban,2017-Feb,2017,February,130.6
Rural,2017-Mar,2017,March,132.8
Urban,2017-Mar,2017,March,128.7
Rural+Urban,2017-Mar,2017,March,130.9
Rural,2017-Apr,2017,April,132.9
Urban,2017-Apr,2017,April,129.1
Rural+Urban,2017-Apr,2017,April,131.1
Rural,2017-May,2017,May,133.3
Urban,2017-May,2017,May,129.3
Rural+Urban,2017-May,2017,May,131.4
Rural,2017-Jun,2017,June,133.9
Urban,2017-Jun,2017,June,129.9
Rural+Urban,2017-Jun,2017,June,132
Rural,2017-Jul,2017,July,136.2
Urban,2017-Jul,2017,July,131.8
Rural+Urban,2017-Jul,2017,July,134.2
Rural,2017-Aug,2017,August,137.8
Urban,2017-Aug,2017,August,132.7
Rural+Urban,2017-Aug,2017,August,135.4
Rural,2017-Sep,2017,September,137.6
Urban,2017-Sep,2017,September,132.4
Rural+Urban,2017-Sep,2017,September,135.2
Rural,2017-Oct,2017,October,138.3
Urban,2017-Oct,2017,October,133.5
Rural+Urban,2017-Oct,2017,October,136.1
Rural,2017-Nov,2017,November,140
Urban,2017-Nov,2017,November,134.8
Rural+Urban,2017-Nov,2017,November,137.6
Rural,2017-Dec,2017,December,139.8
Urban,2017-Dec,2017,December,134.1
