mom_id,date,(D). CRUDE PETROLEUM & NATURAL GAS,Natural Gas,Coking Coal,b. Non-Coking Coal,a.) Non-Coking Coal G1 to G6 [GCV exceeding 5500 Kcal/kg.],c. Lignite,Bitumen,b. Manufacture of fluid power equipment,o. Manufacture of renewable electricity generating equipment,LPG,Kerosene,(C). ELECTRICITY,II FUEL & POWER,Lignite,(A). COAL,a. Coking Coal,c.) Non-Coking Coal G15 to G17 [GCV < 3100 Kcal/kg.],Electricity,Solar power system (solar panel & attachable equipment)
2012-Apr,01-04-2012,240.96,46.42,64.7,140.1,49.99,9.01,22.68,16.15,4.56,64.48,18.69,306.41,1315.19,9.01,213.81,64.7,1.2,306.41,2.58
2012-May,01-05-2012,233.51,48.66,64.7,140.1,49.99,8.15,23.1,16.11,4.57,61.7,18.74,317.11,1320.14,8.15,212.75,64.7,1.2,317.11,2.6
2012-Jun,01-06-2012,213.71,49.99,64.7,141.76,50.13,8.15,23.59,16.2,4.75,59.03,18.62,322.45,1305.29,8.15,214.45,64.7,1.22,322.45,2.85
2012-Jul,01-07-2012,222.65,49.52,64.7,144.41,50.37,8.15,23.59,16.21,4.75,56.53,18.13,320.25,1280.55,8.15,217.2,64.7,1.25,320.25,2.85
2012-Aug,01-08-2012,240.53,49.6,64.7,144.41,50.37,8.15,23.54,16.32,4.67,53.34,18.34,309.87,1296.63,8.15,217.2,64.7,1.25,309.87,2.76
2012-Sep,01-09-2012,237.77,48.79,64.7,144.41,50.37,8.15,23.28,16.5,4.65,57.52,18.95,306.41,1337.46,8.15,217.2,64.7,1.25,306.41,2.74
2012-Oct,01-10-2012,228.4,48.06,64.7,144.41,50.37,8.15,19.72,16.17,4.63,65.64,19.1,318.99,1330.04,8.15,217.2,64.7,1.25,318.99,2.71
2012-Nov,01-11-2012,233.08,49.52,64.7,144.41,50.37,8.15,18.96,16.24,4.74,65.93,18.74,319.62,1320.14,8.15,217.2,64.7,1.25,319.62,2.84
2012-Dec,01-12-2012,233.72,49.43,64.7,144.41,50.37,8.15,22.45,16.23,4.71,67.32,18.69,318.68,1325.09,8.15,217.2,64.7,1.25,318.68,2.8
2013-Jan,01-01-2013,236.49,49.13,64.7,144.41,50.37,8.15,23.88,15.97,4.68,67.03,18.63,328.74,1347.36,8.15,217.2,64.7,1.25,328.74,2.77
2013-Feb,01-02-2013,239.68,48.7,64.7,144.41,50.37,8.15,22.99,15.95,4.36,67.44,18.77,316.48,1358.49,8.15,217.2,64.7,1.25,316.48,2.61
2013-Mar,01-03-2013,234.36,49.22,64.7,144.41,50.37,8.15,22.54,15.95,4.35,64.89,19.03,308.93,1358.49,8.15,217.2,64.7,1.25,308.93,2.6
