mom_id,date,e. Manufacture of dairy products,"(P). MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS","e. Manufacture of cutlery, hand tools and general hardware",a. Manufacture of structural metal products,d. Manufacture of other porcelain and ceramic products,b. Manufacture of refractory products,h. Manufacture of man-made fibres,f. Manufacture of other textiles,a. Manufacture of tobacco products,(C). MANUFACTURE OF TOBACCO PRODUCTS,h. Manufacture of bakery products,g. Manufacture of starches and starch products,d. Manufacture of games and toys,(V). OTHER MANUFACTURING,n. Manufacture of other special-purpose machinery,b. Manufacture of batteries and accumulators,d. Manufacture of consumer electronics,"e. Manufacture of cement, lime and plaster",a. Manufacture of glass and glass products,g. Manufacture of other chemical products,d. Manufacture of pesticides and other agrochemical products,b. Manufacture of fertilizers and nitrogen compounds,a. Manufacture of electronic components,c. Manufacture of builders carpentry and joinery,c. Manufacture of sports goods,d. Manufacture of vegetable and animal oils and fats,b. Manufacture of musical instruments,(U). MANUFACTURE OF FURNITURE,"(S). MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",j. Manufacture of metal-forming machinery and machine tools,f. Manufacture of lifting and handling equipment,(R). MANUFACTURE OF MACHINERY AND EQUIPMENT,g. Manufacture of other electrical equipment,f. Manufacture of domestic appliances,c. Manufacture of communication equipment,f. Manufacture of other fabricated metal products,"b. Manufacture of tanks, reservoirs and containers of metal",i. Manufacture of non-ferrous metals incl. precious metals,"f. Manufacture of articles of concrete, cement and plaster",c. Manufacture of clay building materials,c. Manufacture of plastics products,(J). MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,c. Manufacture of other articles of paper and paperboard,(H). MANUFACTURE OF PAPER AND PAPER PRODUCTS,d. Manufacture of wooden containers,b. Manufacture of knitted and crocheted apparel,c. Manufacture of knitted and crocheted fabrics,(A). MANUFACTURE OF FOOD PRODUCTS,c. Manufacture of footwear,"d. Manufacture of bearings, gears, gearing and driving elements","e. Manufacture of cordage, rope, twine and netting",c. Manufacture of motor cycles,b. Manufacture of railway locomotives and rolling stock,(T). MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,h. Manufacture of other general-purpose machinery,"e. Manufacture of ovens, furnaces and furnace burners",(Q). MANUFACTURE OF ELECTRICAL EQUIPMENT,f. Manufacture of watches and clocks,b. Manufacture of computers and peripheral equipment,(M). MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,b. Manufacture of other rubber products,(L). MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,"a. Manufacture of pulp, paper and paperboard",(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK  ,"d. Manufacture of made-up textile articles, except apparel",(D). MANUFACTURE OF TEXTILES,b. Manufacture of malt liquors and malt,p. Manufacture of prepared animal feeds,n. Manufacture of processed ready to eat food,"j. Manufacture of cocoa, chocolate and sugar confectionery",f. Manufacture of grain mill products,"b. Manufacture of luggage, handbags, saddlery and harness",d. Manufacture of bicycles and invalid carriages,e. Manufacture of medical and dental instruments and supplies,(N). MANUFACTURE OF BASIC METALS,l. Manufacture of Tea & Coffee products,a. Manufacture of wines & spirits,III   MANUFACTURED PRODUCTS,a. Manufacture of jewellery and related articles,a. Manufacture of furniture,e. Manufacture of other transport equipment,b. Manufacture of parts and accessories for motor vehicles,a. Manufacture of motor vehicles,i. Manufacture of agricultural and forestry machinery,g. Manufacture of office machinery and equipment,"c. Manufacture of other pumps, compressors, taps and valves",b. Manufacture of fluid power equipment,o. Manufacture of renewable electricity generating equipment,m. Manufacture of Processed condiments & salt,c. Manufacture of plastic and synthetic rubber in primary form,a. Manufacture of basic chemicals,(F). MANUFACTURE OF LEATHER AND RELATED PRODUCTS,"a. Manufacture of wearing apparel (woven), except fur apparel",(E). MANUFACTURE OF WEARING APPAREL,(B). MANUFACTURE OF BEVERAGES,o. Manufacture of Health supplements,h. Manufacture of other non-metallic mineral products,"i. Manufacture of sugar, molasses & honey"
2012-Apr,01-04-2012,116.55,200.88,20.76,103.14,22.25,22.32,29.64,20.09,51.36,51.36,21.46,10.96,0.48,106.42,46.83,23.57,64.1,164.48,29.5,69.23,45.37,148.5,40.24,3.56,1.24,264.29,0.12,72.67,496.85,22.36,28.51,478.9,20.59,36.6,31,72.84,65.95,169.26,29.25,12.11,141.78,646.51,30.6,111.32,11.88,22.09,19.3,912.17,31.79,34.02,9.78,130.21,10.98,164.78,43.68,0.84,292.97,7.55,33.64,320.18,27.18,229.85,49.3,77.18,29.85,488.07,22.53,35.63,2.43,17.5,200.95,7.54,11.7,4.94,964.63,37.08,40.83,6423.05,99.64,72.67,0.16,236.83,260.03,83.27,0.58,55.18,16.15,4.56,16.3,100.08,143.33,53.54,59.32,81.41,90.91,22.5,16.91,116.28
2012-May,01-05-2012,115.98,202.69,20.96,102.75,22.27,22.43,30.17,20.26,52.23,52.23,21.67,10.94,0.48,103.21,46.93,23.67,64.88,163.13,29.79,69.29,45.58,150.69,40.59,3.57,1.25,265.26,0.12,71.97,507.96,22.45,28.31,479.37,20.32,36.56,31.33,72.62,66.28,170.1,29.71,12.67,143.43,653.85,30.7,111.65,12.88,21.9,19.73,919.09,32.06,34.05,9.78,133.51,10.98,167.95,44.04,0.81,287.9,7.57,33.67,320.47,27.2,231.64,49.25,78.34,30.14,493.88,22.35,36.88,2.47,17.47,201.72,7.53,11.71,4.94,970.1,38.31,40.95,6466.49,96.48,71.97,0.16,236.83,271.45,83.75,0.58,51.91,16.11,4.57,16.37,101.11,145.66,54.2,59.58,81.49,91,23.23,17.13,117.4
2012-Jun,01-06-2012,116.77,202.08,20.84,103.83,22.27,22.34,29.58,20.52,52.37,52.37,21.81,10.94,0.48,100.12,47.44,23.78,64.23,165.08,29.79,70.03,45.45,153.58,40.16,3.59,1.24,263.57,0.12,71.69,496.85,22.39,28.68,483.58,20.81,37.35,30.67,73.42,66.92,172.93,29.74,12.87,143.71,657.52,30.45,111.43,11.53,22.07,20.04,923.41,32.28,34.55,9.82,135.5,11.02,170.11,46,0.85,290.16,7.57,33.67,322.56,27.23,232.09,49.73,77.4,30.49,496.78,22.5,37.76,2.4,17.97,205.57,7.63,11.79,4.94,970.1,39.43,40.55,6478.91,93.21,71.69,0.17,240.56,255.67,83.99,0.58,52.17,16.2,4.75,16.55,101.02,146.07,54.61,60.52,82.59,91,22.86,16.9,116.16
2012-Jul,01-07-2012,118.01,202.08,21.01,108.11,22.29,23.03,29.34,20.15,51.89,51.89,21.92,11.15,0.48,106.88,47.95,24.04,64.36,167.33,30.1,70.16,45.63,155.91,40.44,3.61,1.24,268.15,0.13,70.5,502.91,22.47,28.71,482.18,20.92,37.82,30.55,71.9,66.02,172.43,29.85,12.77,143.02,659.97,30.85,111.98,10.78,22.61,20.12,940.71,32.34,33.98,10.03,136.69,11.48,171.78,43.68,0.89,285.93,7.54,33.67,325.54,27.07,231.42,49.88,78.41,30.4,497.27,22.46,40.19,2.44,17.92,209.61,7.83,11.74,4.94,964.63,38.07,41.31,6509.94,100.18,70.5,0.17,239.86,262.75,84.56,0.58,52.22,16.21,4.75,16.35,101.2,145.25,54.92,60.21,82.81,91.98,23.59,16.6,121.33
2012-Aug,01-08-2012,117.67,202.29,21.01,107.04,21.69,23.73,30.02,19.83,52.23,52.23,21.96,12.07,0.47,102.87,48.13,24.4,64.94,165.38,29.99,70.3,46.23,156.05,40.12,3.62,1.23,269.83,0.12,72.11,501.9,22.43,28.37,483.58,21.16,38.46,30.85,73.71,66.28,174.09,29.6,13.44,144.4,664.26,30.57,112.19,11.22,22.91,20.12,959.73,32.59,35.34,10.34,134.57,11.92,170.11,43.8,0.89,288.75,7.55,33.71,324.05,26.56,232.09,50.17,78.98,30.63,504.05,22.48,42.36,2.45,18.23,215.77,8,11.8,4.94,958.26,37.63,41.96,6534.76,96.15,72.11,0.16,240.32,261.11,84.4,0.58,51.18,16.32,4.67,17.16,101.67,147.44,55.22,59.43,82.29,92.51,24.32,16.72,128.62
2012-Sep,01-09-2012,118.01,201.88,20.65,104.51,21.69,23.65,30.28,19.95,51.79,51.79,22.79,12.2,0.48,118.33,48.6,24.54,64.81,162.38,29.93,70.16,46.74,157.29,39.35,3.6,1.25,266.46,0.13,72.95,507.46,22.47,28.99,489.21,20.98,39.28,31.27,71.62,66.15,176.25,29.74,12.07,145.23,665.48,31.1,113.5,11.94,22.76,20.21,964.91,32.22,35.68,10.28,135.37,11.8,170.78,42.7,0.88,292.13,7.59,33.71,319.88,26.67,232.98,49.78,79.27,30.63,508.4,22.57,43.81,2.47,18.43,219.24,7.89,11.77,4.94,960.08,37.35,42.6,6571.99,111.73,72.95,0.16,239.39,267.91,84.4,0.58,55.44,16.5,4.65,17.16,102.61,146.34,54.61,59.38,82.07,93.4,24.43,16.82,132.21
2012-Oct,01-10-2012,116.66,205.51,20.72,104.8,21.74,23.56,30.08,19.74,52.03,52.03,22.5,12.03,0.48,122.57,46.88,24.23,66.44,161.18,30.13,70.3,46.4,157.43,40.75,3.63,1.25,252.73,0.11,73.79,530.18,22.47,29.07,489.21,20.67,39.28,30.55,73.63,66.28,174.09,29.77,12.77,145.64,664.26,30.85,113.5,12.76,22.95,19.98,947.62,32.09,35.74,10.32,136.29,11.85,171.61,43.68,0.78,293.53,7.58,33.71,319.28,26.86,233.21,49.73,80.14,30.55,506.47,22.9,44.14,2.43,18.19,220.39,8.02,11.73,4.94,956.43,36.88,42.68,6584.41,116.19,73.79,0.16,238.46,292.39,84.72,0.58,54.56,16.17,4.63,16.77,100.83,147.3,55.02,59.53,82.44,93.94,24.46,16.55,129.74
2012-Nov,01-11-2012,116.43,205.11,20.14,104.02,21.74,23.58,29.93,19.82,52.66,52.66,22.73,11.83,0.48,124.4,45.63,24.33,66.57,160.29,30.13,69.56,46.65,158.53,40.71,3.63,1.24,248.87,0.12,76.45,519.07,22.5,28.51,485.93,20.77,39.14,31,72.99,65.82,173.09,29.88,12.47,145.09,664.87,30.91,113.18,12.95,22.33,20.08,945.89,32.12,35.04,10.36,132.06,11.84,167.61,42.29,0.84,293.53,7.62,33.67,318.39,26.78,232.76,49.92,81.36,30.52,504.53,22.39,44.33,2.45,18.48,221.74,7.86,11.82,4.94,949.15,37.56,43,6553.38,117.93,76.45,0.17,238.23,281.24,84.8,0.58,55.08,16.24,4.74,16.62,100.83,147.44,54.92,60.67,83.02,93.85,23.83,16.91,130.75
2012-Dec,01-12-2012,115.3,205.71,20.18,103.05,22.08,23.56,30.52,19.89,52.86,52.86,22.79,12.12,0.48,114.55,47.39,24.3,66.24,155.19,30.13,69.76,46.31,157.84,40.63,3.64,1.24,243.81,0.12,75.47,523.61,22.76,28.37,483.12,20.61,39.03,30.85,71.98,66.21,174.92,29.8,12.44,145.09,666.71,31.01,113.5,13,22.5,20.31,939.84,32.12,34.91,10.18,129.01,11.78,164.61,43.96,0.78,296.35,7.62,33.71,313.92,26.88,233.43,50.17,81.73,30.72,504.53,22.59,43.05,2.47,18.4,221.74,7.77,12.04,4.94,943.68,38.2,43.4,6534.76,108.02,75.47,0.16,238.92,285.32,84.8,0.58,50.51,16.23,4.71,17.07,101.95,147.44,54.61,61.35,83.83,94.74,24.01,17.28,131.2
2013-Jan,01-01-2013,115.64,205.71,20.02,102.75,22.12,23.63,30.85,19.93,53.15,53.15,22.9,12.44,0.48,107.45,47.72,24.66,66.11,156.69,29.87,70.97,46.05,157.43,41.06,3.77,1.25,245.02,0.12,75.96,541.79,22.67,28.03,488.74,20.67,39.57,30.49,72.55,66.21,175.26,30.21,13,143.98,669.77,30.94,113.72,13.46,22.43,20.63,939.84,32.12,34.38,10.34,136.16,11.76,174.12,47.68,0.89,290.44,7.62,33.71,315.11,27.07,231.64,50.31,82.59,30.84,507.44,22.35,42.16,2.43,18.35,224.05,8.14,11.83,5.03,943.68,37.42,43.24,6565.79,100.62,75.96,0.17,241.96,300.55,85.04,0.58,52.79,15.97,4.68,17.58,103.64,148.67,54.97,59.69,82.07,95.01,24.01,16.79,128.17
