mom_id,Year,Month,oil_price
2001-Apr,2000-01,April,22.51
2001-May,2000-01,May,26.6
2001-Jun,2000-01,June,28.49
2001-Jul,2000-01,July,27.26
2001-Aug,2000-01,August,28.33
2001-Sep,2000-01,September,31.34
2001-Oct,2000-01,October,30.5
2001-Nov,2000-01,November,30.93
2001-Dec,2000-01,December,23.25
2001-Jan,2000-01,January,24.02
2001-Feb,2000-01,February,25.92
2001-Mar,2000-01,March,23.82
2002-Apr,2001-02,April,24.82
2002-May,2001-02,May,26.95
2002-Jun,2001-02,June,26.63
2002-Jul,2001-02,July,23.99
2002-Aug,2001-02,August,25.01
2002-Sep,2001-02,September,24.79
2002-Oct,2001-02,October,20.05
2002-Nov,2001-02,November,18.24
2002-Dec,2001-02,December,18.24
2002-Jan,2001-02,January,18.92
2002-Feb,2001-02,February,19.53
2002-Mar,2001-02,March,23.31
2003-Apr,2002-03,April,25.03
2003-May,2002-03,May,24.99
2003-Jun,2002-03,June,24.05
2003-Jul,2002-03,July,25.18
2003-Aug,2002-03,August,25.86
2003-Sep,2002-03,September,27.5
2003-Oct,2002-03,October,26.9
2003-Nov,2002-03,November,23.68
2003-Dec,2002-03,December,27.11
2003-Jan,2002-03,January,29.59
2003-Feb,2002-03,February,31.31
2003-Mar,2002-03,March,28.83
2004-Apr,2003-04,April,24.21
2004-May,2003-04,May,24.99
2004-Jun,2003-04,June,26.43
2004-Jul,2003-04,July,27.46
2004-Aug,2003-04,August,28.66
2004-Sep,2003-04,September,26.27
2004-Oct,2003-04,October,28.45
2004-Nov,2003-04,November,28.23
2004-Dec,2003-04,December,28.97
2004-Jan,2003-04,January,30
2004-Feb,2003-04,February,29.65
2004-Mar,2003-04,March,32.21
2005-Apr,2004-05,April,32.37
2005-May,2004-05,May,36.08
2005-Jun,2004-05,June,34.16
2005-Jul,2004-05,July,36.35
2005-Aug,2004-05,August,40.52
2005-Sep,2004-05,September,39.15
2005-Oct,2004-05,October,43.38
2005-Nov,2004-05,November,38.9
2005-Dec,2004-05,December,36.82
2005-Jan,2004-05,January,40.96
2005-Feb,2004-05,February,42.67
2005-Mar,2004-05,March,49.27
2006-Apr,2005-06,April,49.43
2006-May,2005-06,May,47
2006-Jun,2005-06,June,52.72
2006-Jul,2005-06,July,55.01
2006-Aug,2005-06,August,60.05
2006-Sep,2005-06,September,59.74
2006-Oct,2005-06,October,56.28
2006-Nov,2005-06,November,53.14
2006-Dec,2005-06,December,55.05
2006-Jan,2005-06,January,60.54
2006-Feb,2005-06,February,58.95
2006-Mar,2005-06,March,60.01
2007-Apr,2006-07,April,67.06
2007-May,2006-07,May,67.22
2007-Jun,2006-07,June,66.9
2007-Jul,2006-07,July,71.29
2007-Aug,2006-07,August,70.78
2007-Sep,2006-07,September,60.93
2007-Oct,2006-07,October,57.27
2007-Nov,2006-07,November,57.79
2007-Dec,2006-07,December,60.34
2007-Jan,2006-07,January,52.53
2007-Feb,2006-07,February,56.53
2007-Mar,2006-07,March,60.26
2008-Apr,2007-08,April,65.48
2008-May,2007-08,May,65.7
2008-Jun,2007-08,June,68.1
2008-Jul,2007-08,July,72.58
2008-Aug,2007-08,August,68.98
2008-Sep,2007-08,September,74.78
2008-Oct,2007-08,October,79.33
2008-Nov,2007-08,November,89.11
2008-Dec,2007-08,December,87.92
2008-Jan,2007-08,January,89.52
2008-Feb,2007-08,February,92.37
2008-Mar,2007-08,March,99.76
2009-Apr,2008-09,April,105.72
2009-May,2008-09,May,120.91
2009-Jun,2008-09,June,129.72
2009-Jul,2008-09,July,132.47
2009-Aug,2008-09,August,113.05
2009-Sep,2008-09,September,96.81
2009-Oct,2008-09,October,69.12
2009-Nov,2008-09,November,50.91
2009-Dec,2008-09,December,40.61
2009-Jan,2008-09,January,43.99
2009-Feb,2008-09,February,43.22
2009-Mar,2008-09,March,46.02
2010-Apr,2009-10,April,50.14
2010-May,2009-10,May,58
2010-Jun,2009-10,June,69.12
2010-Jul,2009-10,July,64.82
2010-Aug,2009-10,August,71.98
2010-Sep,2009-10,September,67.7
2010-Oct,2009-10,October,73.06
2010-Nov,2009-10,November,77.39
2010-Dec,2009-10,December,75.02
2010-Jan,2009-10,January,76.61
2010-Feb,2009-10,February,73.69
2010-Mar,2009-10,March,78.02
2011-Apr,2010-11,April,84.08
2011-May,2010-11,May,76.16
2011-Jun,2010-11,June,74.33
2011-Jul,2010-11,July,73.54
2011-Aug,2010-11,August,75.13
2011-Sep,2010-11,September,76.09
2011-Oct,2010-11,October,81.11
2011-Nov,2010-11,November,84.26
2011-Dec,2010-11,December,89.77
2011-Jan,2010-11,January,93.87
2011-Feb,2010-11,February,101.62
2011-Mar,2010-11,March,110.71
2012-Apr,2011-12,April,118.64
2012-May,2011-12,May,110.8
2012-Jun,2011-12,June,109.99
2012-Jul,2011-12,July,112.53
2012-Aug,2011-12,August,106.94
2012-Sep,2011-12,September,108.79
2012-Oct,2011-12,October,106.11
2012-Nov,2011-12,November,109.62
2012-Dec,2011-12,December,107.19
2012-Jan,2011-12,January,110.47
2012-Feb,2011-12,February,117.67
2012-Mar,2011-12,March,123.61
2013-Apr,2012-13,April,117.97
2013-May,2012-13,May,108.05
2013-Jun,2012-13,June,94.51
2013-Jul,2012-13,July,100.34
2013-Aug,2012-13,August,110.07
2013-Sep,2012-13,September,111.77
2013-Oct,2012-13,October,109.79
2013-Nov,2012-13,November,107.87
2013-Dec,2012-13,December,107.28
2013-Jan,2012-13,January,109.55
2013-Feb,2012-13,February,112.68
2013-Mar,2012-13,March,106.45
2014-Apr,2013-14,April,101.57
2014-May,2013-14,May,101.1
2014-Jun,2013-14,June,101.11
2014-Jul,2013-14,July,104.86
2014-Aug,2013-14,August,108.45
2014-Sep,2013-14,September,109.47
2014-Oct,2013-14,October,107.37
2014-Nov,2013-14,November,106.55
2014-Dec,2013-14,December,108.72
2014-Jan,2013-14,January,105.29
2014-Feb,2013-14,February,106.19
2014-Mar,2013-14,March,105.3
2015-Apr,2014-15,April,105.56
2015-May,2014-15,May,106.85
2015-Jun,2014-15,June,109.05
2015-Jul,2014-15,July,106.3
2015-Aug,2014-15,August,101.89
2015-Sep,2014-15,September,96.96
2015-Oct,2014-15,October,86.83
2015-Nov,2014-15,November,77.58
2015-Dec,2014-15,December,61.21
2015-Jan,2014-15,January,46.59
2015-Feb,2014-15,February,56.43
2015-Mar,2014-15,March,55.18
2016-Apr,2015-16,April,59.07
2016-May,2015-16,May,63.82
2016-Jun,2015-16,June,61.75
2016-Jul,2015-16,July,56.3
2016-Aug,2015-16,August,47.33
2016-Sep,2015-16,September,46.1
2016-Oct,2015-16,October,46.68
2016-Nov,2015-16,November,42.5
2016-Dec,2015-16,December,35.68
2016-Jan,2015-16,January,28.08
2016-Feb,2015-16,February,30.53
2016-Mar,2015-16,March,36.42
2017-Apr,2016-17,April,39.88
2017-May,2016-17,May,45.01
2017-Jun,2016-17,June,46.96
2017-Jul,2016-17,July,43.52
2017-Aug,2016-17,August,44.38
2017-Sep,2016-17,September,44.48
2017-Oct,2016-17,October,49.25
2017-Nov,2016-17,November,44.46
2017-Dec,2016-17,December,52.74
2017-Jan,2016-17,January,54.08
2017-Feb,2016-17,February,54.86
2017-Mar,2016-17,March,51.47
2018-Apr,2017-18,April,52.49
2018-May,2017-18,May,50.57
2018-Jun,2017-18,June,46.56
2018-Jul,2017-18,July,47.86
2018-Aug,2017-18,August,50.63
2018-Sep,2017-18,September,54.52
2018-Oct,2017-18,October,56.06
2018-Nov,2017-18,November,61.32
2018-Dec,2017-18,December,62.29
2018-Jan,2017-18,January,67.06
2018-Feb,2017-18,February,63.54
2018-Mar,2017-18,March,63.8
2019-Apr,2018-19,April,69.22
2019-May,2018-19,May,75.25
2019-Jun,2018-19,June,73.83
2019-Jul,2018-19,July,73.47
2019-Aug,2018-19,August,72.53
2019-Sep,2018-19,September,77.88
2019-Oct,2018-19,October,80.08
2019-Nov,2018-19,November,65.4
2019-Dec,2018-19,December,57.77
2019-Jan,2018-19,January,59.27
2019-Feb,2018-19,February,64.53
