"mom_id","date","crude_petroluem_natural_gas","Petrol","natural_gas","coking_coal","non_coking_coal","Bitumen","crude_petroluem","LPG","Kerosene","electricity","Lignite","coal_total","petroluem_coke","WPI"
"2012-Apr","2012-04-01",240.96,160.47,46.42,64.7,140.1,22.68,194.54,64.48,18.69,306.41,9.01,59.12,4.66,56.97
"2012-Aug","2012-08-01",240.53,167.12,49.6,64.7,144.41,23.54,191.14,53.34,18.34,309.87,8.15,60.2,4.54,58.52
"2012-Dec","2012-12-01",233.72,178.15,49.43,64.7,144.41,22.45,184.67,67.32,18.69,318.68,8.15,59.93,4.53,58.4
"2012-Jul","2012-07-01",222.65,159.71,49.52,64.7,144.41,23.59,173.62,56.53,18.13,320.25,8.15,60.21,4.58,58.15
"2012-Jun","2012-06-01",213.71,169.39,49.99,64.7,141.76,23.59,164.27,59.03,18.62,322.45,8.15,59.55,4.69,57.56
"2012-May","2012-05-01",233.51,164.1,48.66,64.7,140.1,23.1,185.01,61.7,18.74,317.11,8.15,59.01,4.69,57.47
"2012-Nov","2012-11-01",233.08,178.3,49.52,64.7,144.41,18.96,183.82,65.93,18.74,319.62,8.15,59.06,4.53,58.54
"2012-Oct","2012-10-01",228.4,182.38,48.06,64.7,144.41,19.72,180.59,65.64,19.1,318.99,8.15,59.24,4.53,58.69
"2012-Sep","2012-09-01",237.77,179.06,48.79,64.7,144.41,23.28,189.1,57.52,18.95,306.41,8.15,60.14,4.53,58.82
"2013-Apr","2013-04-01",224.14,176.03,49.3,64.7,144.41,23.01,175.15,64.54,18.62,318.05,8.25,60.09,4.11,59.26
"2013-Aug","2013-08-01",271.61,191.6,56.78,65.61,147.6,24.88,215.11,63.15,19.05,324.34,8.25,61.58,4.26,61.92
"2013-Dec","2013-12-01",262.67,191.9,55.71,65.61,149.96,25.77,207.29,71.85,19.4,332.21,8.25,62.4,4.39,61.89
"2013-Feb","2013-02-01",239.68,181.17,48.7,64.7,144.41,22.99,191.14,67.44,18.77,316.48,8.15,60.06,4.53,59.15
"2013-Jan","2013-01-01",236.49,178.0,49.13,64.7,144.41,23.88,187.56,67.03,18.63,328.74,8.15,60.28,4.53,58.92
"2013-Jul","2013-07-01",242.66,186.46,53.9,65.61,147.6,24.26,189.27,60.3,18.62,321.82,8.25,61.43,4.24,61.0
"2013-Jun","2013-06-01",238.83,172.41,52.74,65.61,147.6,23.61,186.54,58.1,18.2,319.31,8.25,61.27,4.11,60.33
"2013-Mar","2013-03-01",234.36,185.25,49.22,64.7,144.41,22.54,185.52,64.89,19.03,308.93,8.15,59.95,4.53,59.24
"2013-May","2013-05-01",225.21,163.34,49.86,64.7,144.41,23.01,175.83,61.0,18.23,317.73,8.25,60.09,4.11,59.51
"2013-Nov","2013-11-01",264.16,189.93,56.31,65.61,147.6,25.77,208.14,67.91,19.35,324.34,8.25,61.81,4.38,62.49
"2013-Oct","2013-10-01",266.72,194.17,55.45,65.61,147.6,25.41,211.54,71.16,19.68,324.97,8.25,61.72,4.34,62.78
"2013-Sep","2013-09-01",272.04,205.95,57.26,65.61,147.6,26.5,215.11,66.92,19.51,329.06,8.25,61.99,4.35,62.6
"2014-Apr","2014-04-01",256.07,192.2,54.5,65.61,152.33,24.94,202.02,69.65,19.16,333.46,8.25,62.78,4.46,62.26
