"mom_id","date","spices","eggs_meat_fish","food_grains","Sugar","wpi"
"2012-Apr","2012-04-01",13.61,240.16,346.24,105.55,56.97
"2012-Aug","2012-08-01",14.37,252.87,387.87,117.07,58.52
"2012-Dec","2012-12-01",14.21,255.14,393.48,119.1,58.4
"2012-Jul","2012-07-01",13.54,252.41,368.37,110.04,58.15
"2012-Jun","2012-06-01",13.86,252.64,354.83,105.15,57.56
"2012-May","2012-05-01",13.68,245.83,350.2,106.57,57.47
"2012-Nov","2012-11-01",13.8,251.73,394.14,118.49,58.54
"2012-Oct","2012-10-01",13.95,253.55,391.17,117.68,58.69
"2012-Sep","2012-09-01",14.33,258.77,394.47,120.53,58.82
"2013-Apr","2013-04-01",14.87,270.35,396.13,112.28,59.26
"2013-Aug","2013-08-01",15.81,287.14,412.31,109.83,61.92
"2013-Dec","2013-12-01",15.7,290.32,416.94,108.61,61.89
"2013-Feb","2013-02-01",14.9,278.74,395.13,115.64,59.15
"2013-Jan","2013-01-01",14.69,271.03,393.81,116.05,58.92
"2013-Jul","2013-07-01",15.42,283.51,409.67,111.56,61.0
"2013-Jun","2013-06-01",15.91,289.87,403.72,112.07,60.33
"2013-Mar","2013-03-01",14.7,272.84,395.13,113.4,59.24
"2013-May","2013-05-01",15.51,276.47,396.46,113.3,59.51
"2013-Nov","2013-11-01",15.82,284.65,417.27,106.88,62.49
"2013-Oct","2013-10-01",15.48,285.1,414.63,108.1,62.78
"2013-Sep","2013-09-01",16.27,280.56,414.3,109.32,62.6
"2014-Apr","2014-04-01",16.27,281.92,417.27,113.19,62.26
"2014-Aug","2014-08-01",17.08,297.81,428.83,111.36,64.38
"2014-Dec","2014-12-01",17.29,290.32,422.56,104.53,61.53
"2014-Feb","2014-02-01",15.99,295.09,417.6,104.94,61.94
"2014-Jan","2014-01-01",16.0,301.44,417.27,102.6,61.9
"2014-Jul","2014-07-01",16.63,298.49,426.19,111.87,64.03
"2014-Jun","2014-06-01",17.01,302.81,418.92,111.97,63.11
"2014-Mar","2014-03-01",15.85,289.64,418.92,108.81,62.32
"2014-May","2014-05-01",16.6,296.68,418.59,111.26,62.84
"2014-Nov","2014-11-01",17.3,301.9,424.54,107.29,62.57
"2014-Oct","2014-10-01",16.66,300.76,426.52,107.49,63.41
"2014-Sep","2014-09-01",17.29,296.68,427.51,109.32,63.91
"2015-Apr","2015-04-01",17.56,294.63,427.84,98.52,60.59
"2015-Aug","2015-08-01",18.2,291.68,447.0,89.86,60.87
"2015-Dec","2015-12-01",18.75,308.03,468.48,98.52,60.41
"2015-Feb","2015-02-01",17.77,291.23,427.51,101.48,60.34
"2015-Jan","2015-01-01",17.68,289.87,426.52,104.43,60.93
"2015-Jul","2015-07-01",17.87,297.81,441.72,87.52,61.3
"2015-Jun","2015-06-01",18.41,300.31,439.07,91.59,61.58
"2015-Mar","2015-03-01",17.56,293.5,426.19,97.3,60.43
"2015-May","2015-05-01",18.1,303.71,435.11,96.08,61.36
"2015-Nov","2015-11-01",18.47,295.31,466.5,95.47,60.65
"2015-Oct","2015-10-01",18.68,291.91,463.52,94.65,60.88
"2015-Sep","2015-09-01",18.74,289.64,452.62,92.1,60.81
"2016-Apr","2016-04-01",18.64,309.39,474.09,117.17,60.24
"2016-Aug","2016-08-01",19.41,294.41,507.46,122.98,61.73
