mom_id,commodity,weighted_index,Index
2023-Jan,Bajra,17.97,108360
2023-Jan,Moong,12.34,108361
2023-Jan,Masur,10.29,108362
2023-Jan,Peas/Chawali,3.46,108363
2023-Jan,Cauliflower,22.59,108364
2023-Jan,Okra (Lady finger),23.66,108365
2023-Jan,Beans,7.66,108366
2023-Jan,Drumstick,14.83,108367
2023-Jan,Orange,25.32,108368
2023-Jan,Cashew nut,10.95,108369
2023-Jan,Grapes,10.04,108370
2023-Jan,Mosambi (Sweet Orange),4.26,108371
2023-Jan,Pear,1.3,108372
2023-Jan,Black Pepper,2.93,108373
2023-Jan,Garlic,7.3,108374
2023-Jan,Coriander,6.1,108375
2023-Jan,Tamarind,1.63,108376
2023-Jan,f.  OTHER FOOD ARTICLES,174.01,108377
2023-Jan,a.  FIBRES,168.23,108378
2023-Jan,Raw Cotton,127.43,108379
2023-Jan,Raw Wool,5.45,108380
2023-Jan,Raw Silk,18.46,108381
2023-Jan,Cotton Seed,1.99,108382
2023-Jan,Copra (Coconut),15.04,108383
2023-Jan,Gingelly Seed (Sesamum),2.01,108384
2023-Jan,Safflower (Kardi Seed),0.44,108385
2023-Jan,Tanning Materials,0.31,108386
2023-Jan,Tobacco,10.65,108387
2023-Jan,Raw Rubber,20.31,108388
2023-Jan,Industrial wood,84.3,108389
2023-Jan,Fodder,122.14,108390
2023-Jan,d.   FLORICULTURE,68.14,108391
2023-Jan,Rose,42.05,108392
2023-Jan,Marigold,3.84,108393
2023-Jan,Zinc Concentrate,8.08,108394
2023-Jan,Copper Concentrate,79.24,108395
2023-Jan,(D). CRUDE PETROLEUM & NATURAL GAS,322.27,108396
2023-Jan,Petrol,235.87,108397
2023-Jan,"Buffalo meat, fresh/frozen",10.05,108398
2023-Jan,Fish frozen/canned/processed,20,108399
2023-Jan,Cotton seed Oil,10.16,108400
2023-Jan,e. Manufacture of dairy products,194.13,108401
2023-Jan,Ice cream,9.24,108402
2023-Jan,f. Manufacture of grain mill products,329.15,108403
2023-Jan,Wheat flour (Atta),39.2,108404
2023-Jan,"Flour of cereals other than rice, wheat etc.",1.71,108405
2023-Jan,Basmati rice,57.1,108406
2023-Jan,"Biscuit, cookies",24.06,108407
2023-Jan,Bagasse,3.83,108408
2023-Jan,"j. Manufacture of cocoa, chocolate and sugar confectionery",23.71,108409
2023-Jan,Chocolate & cocoa powder,13.45,108410
2023-Jan,Spices (including mixed spices),27.4,108411
2023-Jan,n. Manufacture of processed ready to eat food,3.27,108412
2023-Jan,p. Manufacture of prepared animal feeds,68.83,108413
2023-Jan,Soya preparations excluding oil,1.55,108414
2023-Jan,b. Manufacture of malt liquors and malt,29.68,108415
2023-Jan,Country liquor,8.35,108416
2023-Jan,Cigarette,26.98,108417
2023-Jan,(D). MANUFACTURE OF TEXTILES,663.83,108418
2023-Jan,Woollen yarn,11.98,108419
2023-Jan,Woollen woven cloth,5.47,108420
2023-Jan,Synthetic Fabric  Others,6.96,108421
2023-Jan,"d. Manufacture of made-up textile articles, except apparel",44.17,108422
2023-Jan,Bed linen/Bed Spread,8.49,108423
2023-Jan,Cotton Dyed/printed textile,7.36,108424
2023-Jan,Cotton Towel,15.37,108425
2023-Jan,"Men/Boys suits, coats and jackets",16.35,108426
2023-Jan,"Hosiery goods, others cotton",4.69,108427
2023-Jan,a. Tanning and dressing of leather; dressing and dyeing of fur,13.28,108428
2023-Jan,Vegetable Tanned Leather,0,108429
2023-Jan,(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK  ,103.22,108430
2023-Jan,Particle Boards,13.71,108431
2023-Jan,"a. Manufacture of pulp, paper and paperboard",76.1,108432
2023-Jan,Paper for printing & writing,32.33,108433
2023-Jan,Laminated Paper,3.79,108434
2023-Jan,Laminated plastic sheet,3.78,108435
2023-Jan,Printed Books,52.67,108436
2023-Jan,Dye stuff/dyes incl. dye intermediates and pigments/colours,31.92,108437
2023-Jan,Aromatic chemicals,4.49,108438
2023-Jan,Caustic soda (sodium hydroxide),14.22,108439
2023-Jan,Mono Ethyl Glycol,4.07,108440
2023-Jan,Menthol,1.31,108441
2023-Jan,Amine,9.75,108442
2023-Jan,Alcohols,19.91,108443
2023-Jan,Phthalic anhydride,1.86,108444
2023-Jan,Sodium Silicate,2.35,108445
2023-Jan,Ammonia liquid,4.86,108446
2023-Jan,Paint,54.97,108447
