year,commodity,weighted_index
2012,Bajra,9.296666667
2012,Moong,7.775555556
2012,Masur,5.9
2012,Peas/Chawali,2.922222222
2012,Cauliflower,8.994444444
2012,Okra (Lady finger),9.28
2012,Beans,6.93
2012,Drumstick,2.972222222
2012,Orange,7.208888889
2012,Cashew nut,7.242222222
2012,Grapes,2.406666667
2012,Mosambi (Sweet Orange),2.472222222
2012,Pear,0.792222222
2012,Black Pepper,2.245555556
2012,Garlic,4.667777778
2012,Coriander,2.225555556
2012,Tamarind,0.887777778
2012,f.  OTHER FOOD ARTICLES,97.03444444
2012,a.  FIBRES,89.53888889
2012,Raw Cotton,70.05555556
2012,Raw Wool,2.63
2012,Raw Silk,9.005555556
2012,Cotton Seed,1.191111111
2012,Copra (Coconut),6.935555556
2012,Gingelly Seed (Sesamum),1.29
2012,Safflower (Kardi Seed),0.243333333
2012,Tanning Materials,0.42
2012,Tobacco,9.433333333
2012,Raw Rubber,26.49777778
2012,Industrial wood,90.45555556
2012,Fodder,56.06222222
2012,d.   FLORICULTURE,22.60666667
2012,Rose,15.96111111
2012,Marigold,3.024444444
2012,Zinc Concentrate,3.012222222
2012,Copper Concentrate,38.11888889
2012,(D). CRUDE PETROLEUM & NATURAL GAS,231.5922222
2012,Petrol,170.9644444
2012,"Buffalo meat, fresh/frozen",8.28
2012,Fish frozen/canned/processed,13.86444444
2012,Cotton seed Oil,7.173333333
2012,e. Manufacture of dairy products,116.82
2012,Ice cream,6.23
2012,f. Manufacture of grain mill products,212.97
2012,Wheat flour (Atta),22.78888889
2012,"Flour of cereals other than rice, wheat etc.",0.921111111
2012,Basmati rice,42.62666667
2012,"Biscuit, cookies",16.32333333
2012,Bagasse,2.936666667
2012,"j. Manufacture of cocoa, chocolate and sugar confectionery",18.06555556
2012,Chocolate & cocoa powder,10.03666667
2012,Spices (including mixed spices),13.92777778
2012,n. Manufacture of processed ready to eat food,2.445555556
2012,p. Manufacture of prepared animal feeds,40.90555556
2012,Soya preparations excluding oil,1.154444444
2012,b. Manufacture of malt liquors and malt,22.53
2012,Country liquor,6.345555556
2012,Cigarette,16.95666667
2012,(D). MANUFACTURE OF TEXTILES,500.4422222
2012,Woollen yarn,10.48666667
2012,Woollen woven cloth,4.515555556
2012,Synthetic Fabric  Others,5.576666667
2012,"d. Manufacture of made-up textile articles, except apparel",30.43666667
2012,Bed linen/Bed Spread,5.756666667
2012,Cotton Dyed/printed textile,4.96
2012,Cotton Towel,10.15222222
2012,"Men/Boys suits, coats and jackets",12.56555556
2012,"Hosiery goods, others cotton",3.957777778
2012,a. Tanning and dressing of leather; dressing and dyeing of fur,14.67888889
2012,Vegetable Tanned Leather,0
2012,(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK  ,79.20111111
2012,Particle Boards,11.91555556
2012,"a. Manufacture of pulp, paper and paperboard",49.77
2012,Paper for printing & writing,19.45888889
2012,Laminated Paper,2.795555556
2012,Laminated plastic sheet,2.92
